conference_acronym	conference_name	conference_location
ICDM 2015	ICDM 2015 Student Travel Grants	Atlantic City, NJ, USA
SIGMOD 2016	ACM International Conference on Management of Data	San Francisco, USA
ESAIR 2015	8th Workshop on Exploiting Semantic Annotations for Information Retrieval	Melbourne, Australia
ICDM 2015	International Conference on Data Mining	Atlantic City, NJ, USA
OJIOT 2015	Internet of Ubiquitous and Pervasive Things	N/A
SISAP 2015	8th International Conference on Similarity Search and Applications	Glasgow, UK
DSAA 2015	IEEE International Conference on Data Science and Advanced Analytics (DSAA 2015)	Paris - France
GID 2015	ADBIS workshop on GPUs in Databases	Poitiers, France
SUM 2015	Ninth International Conference on Scalable Uncertainty Management	Quebec, Canada
KAM 2015	21st Conference on Knowledge Acquisition and Management	Lodz, Poland
COSIT 2015	12th International Conference on Spatial Information Theory	Santa Fe, New Mexico, USA.
SSTD 2015	14th International Symposium on Spatial and Temporal Databases	Seoul, South Korea
DaWaK 2015	17th International Conference on Big Data Analytics and Knowledge Discovery - DaWaK 2015	Valencia, Spain
JWS-SI-KG 2015	Journal of Web Semantics special issue on knowledge graphs	N/A
VLDB 2015	41st International Conference on Very Large Data Bases	Kohala Coast, Hawaii, USA
ADC 2015	Australasian Database Conference	Melbourne
IUPT 2015	The 5th International Symposium on Internet of Ubiquitous and Pervasive Things	London, UK
ADBIS - 2015	[ADBIS'2015]: Call for Workshop Proposals	Poitiers
DAPHNE 2015	International Workshop on Data (Co-)Processing on Heterogeneous Hardware	Brussels, Belgium
ICICS 2015	The 6th IEEE International Conference on Information and Communication Systems	Amman, Jordan
BDAS 2015	11th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures	Ustron near Krakow, Poland
DASFAA (Demo Track) 2015	The 20th International Conference on Database Systems for Advanced Applications (Demo Track)	Hanoi, Vietnam
SIGMOD 2015	International Conference on Management of Data	Melbourne, VIC, Australia
Big Data in Cloud Computing 2014	Call for Book Chapters: Managing Big Data in Cloud Computing Environments	N/A
DBDBD 2014	The Dutch-Belgian Database Day 2014	Antwerp, Belgium
SCDM 2014	2nd Scalable Cloud Data Management Workshop	Washington DC
COMAD 2014	International Conference on Management of Data (COMAD)	Hyderabad, India
BBH 2014	The 2nd International Workshop of BigData in Bioinformatics and Healthcare Informatics	Washington D.C., USA
IDAM 2014	The 4th Intelligent Data Analysis and Management	Kaohsiung, Taiwan
SDA 2014	4th International Workshop on Semantic Digital Archives (SDA)	London
ICCIDM 2014	International Conference on Computational Intelligence in Data Mining, Springer	Odisha, India
ICDM 2014	IEEE International Conference on Data Mining	Shenzhen, China
ICDM 2014	[2nd Round CFP] ICDM '14: The 14th IEEE International Conference on Data Mining	Shenzhen, China
ODBASE 2014	The conference on Ontologies, DataBases, and Applications of Semantics for Large Scale Information Systems	Amantea, Italy
FDSE 2014	The 1st International Conference on Future Data and Security Engineering 2014	Ho Chi Minh City, Vietnam
DAB 2014	3rd International Workshop on Data- and Artifact-Centric BPM	Haifa, Israel
