conference_acronym	conference_name	conference_location
SIGMOD 2012	2012 ACM SIGMOD International Conference on Management of Data	Scottsdale, Arizona, USA
SDMSM 2012	ICDE Workshop on Secure Data Management on Smart Phones and Mobile Devices	Washington DC, USA
STIR 2012	ICDE 2012 Workshop on Spatio Temporal data Integration and Retrieval	Washington DC, USA
GDM 2012	The 3rd International Workshop on Graph Data Management: Techniques and Applications	Washington DC, USA
HIS 2012	The 1st International Conference on Health Information Science	Beijing, China
DBKDA 2012	The Fourth International Conference on Advances in Databases, Knowledge, and Data Applications	Reunion Island
ISCI 2012	2012 IEEE Symposium on Computers & Informatics	Penang, Malaysia
D-CLOUD 2011	The 2011 International Workshop on Data Cloud	Hong Kong
COMNET SI on GreenNets 2011	COMNET Special Issue on “Green Communication Networks”	N/A
ACIIDS 2012	The 4th Asian Conference on Intelligent Information and Database Systems	Kaohsiung, Taiwan
XLDB 2011	5th Extremely Large Databases Conference	Menlo Park, CA
ADC 2012	Australasian Database Conference	Melbourne, Australia
HPCDB 2011	1st Workshop on High Performance Computing Meets Databases	Seattle, WA, USA
DNIS 2011	7th International Workshop on Databases in Networked Information Systems	Aizu-Wakamatsu, Japan
COMAD 2011	The 17th International Conference on Management of Data	Bangalore, Karnataka, India
OrdRing 2011	First International Workshop on Ordering and Reasoning	Bonn, Germany
DDDM 2011	The 5th International Workshop on Domain Driven Data Mining	Vancouver, Canada
ICDT 2012	15th International Conference on Database Theory	Berlin, Germany
DDDM 2011	CFP: DDDM 2011 Workshop joint with ICDM 2011, Deadline July 23, Vancouver, Canada	Vancouver, Canada
UOII 2011	Workshop User Oriented Information Integration	Riga, Latvia
VDA 2012	Conference on Visualization and Data Analysis	Burlingame, CA
IDEAS '11D 2011	15th International Database Engineering & Applications Symposium	Lisbon
DOLAP 2011	Fourteenth International Workshop on Data Warehousing and Olap	Glasgow, Scotland, UK
FDML 2011	International Symposium on Foundations of Data Mining and Learning	Kaohsiung, Taiwan
Oriental COCOSDA 2011	International Conference on Speech Database and Assessments	Hsinchu City, Taiwan
CAIA 2011	Context Aware Intelligent Assistance	Berlin, Germany
CloudDB 2011	Third International Workshop on Cloud Data Management	Glasgow, Scotland, U.K.
QoS-Workshop 2011	The 1st International Workshop on Service Oriented QoS Management from Theory to Practice	Beijing China
DBPL 2011	The 13th International Symposium on Database Programming Languages	Seattle, USA
DBRank 2011	Fifth International Workshop on Ranking in Databases In Conjunction with VLDB 2011	Seattle, WA, USA
VLDS 2011	First International Workshop on Searching and Integrating New Web Data Sources	Seattle, WA, United States
QDB 2011	9th International Workshop on Quality in Databases	Seattle, WA, USA
CMS 2011	2nd International Workshop on Conceptual Modelling of Services	Milan, Italy
EDB 2011	The Third International Conference on Emerging Databases - Technologies, Applications and Theory	Incheon, Korea
TPCTC 2011	Third TPC Technology Conference on Performance Evaluation & Benchmarking	Seattle, WA
IDEAS 2011	IDEAS'11: 15th International Database Engineering & Applications Symposium	Lisbon
WOD - Summer School 2011	WEB OF DATA: Joint RuSSIR/EDBT Summer School 2011	Saint-Petersburg
CIKM 2011	20th ACM Conference on Information and Knowledge Management	Glasgow, Scotland, UK
CIKM 2011	20th ACM International Conference on Information and Knowledge Management	Glasgow, Scotland, UK
TC4SP 2011	Second International Workshop on Traceability and Compliance of Semi-Structured Processes	Clermont-Ferrand, France
KEOD 2011	Int'l Conf. on Knowledge Engineering and Ontology Development	Paris, France
CECIIS 2011	Central European Conference on Information and Intelligent Systems	Varazdin, Croatia
SUM 2011	Fifth International Conference on Scalable Uncertainty Management	Dayton, Ohio
DBLM 2011	International Workshop on Database Technology for Life Sciences and Medicine	Toulouse, France
SDM 2011	8th VLDB Workshop on Secure Data Management	Seattle, WA, USA
exploreWeb 2011	First International Workshop on Search, Exploration and Navigation of Web Data Sources	Paphos, Cyprus
RSmeetDBs 2011	Recommender Systems meet Databases	Toulouse
JISBD 2011	XVI Jornadas de Ingeniería del Software y Bases de Datos	A Coruña, Spain
HDMS 2011	10th Hellenic Data Management Symposium	Athens, Greece
DocEng 2011	ACM Symposium on Document Engineering	Mountain View, CA, USA
TLAD 2011	9th International Workshop on Teaching, Learning and Assessment of Databases	Manchester, United Kingdom
Globe 2011	4th International Conference on Data Management in Grid and P2P Systems	Toulouse, France
GeoDBIS 2011	1st International Workshop on Geometric Objects in Databases and Information Systems	Vienna, Austria
TaPP 2011	3rd USENIX Workshop on the Theory and Practice of Provenance	Heraklion, Crete, Greece
Balisage 2011	Balisage: The Markup Conference	Montréal, Canada
DBSocial 2011	ACM SIGMOD Workshop on Databases and Social Networks	Athens, Greece
GID 2011	First ADBIS workshop on GPUs In Databases	Vienna, Austria
ADBIS 2011	Fifteenth East-European Conference on Advances in Databases and Information Systems	Vienna, Austria
DaMoN 2011	Seventh International Workshop on Data Management on New Hardware	Athens, Greece
DBTest 2011	4th International Workshop on Testing Database Systems	Athens, Greece
MobiDE 2011	10th ACM International Workshop on Data Engineering for Wireless and Mobile Access	Athens, Greece
DaWaK 2011	13th International Conference on Data Warehousing and Knowledge Discovery	Toulouse, France
SEBD 2011	19th Italian Symposium on Advanced Database Systems	Maratea, Italy
MIMIC 2011	Fifth International Workshop on Management and Interaction with Multimodal Information Content	Toulose, France
IDAR 2011	SIGMOD/PODS PhD Workshop on Innovative Database Research	Athens, Greece
DEXA 2011	Database and Expert Systems Applications	Toulouse, France
E-LKR 2011	1st International Workshop on Exploiting Large Knowledge Repositories	Toulouse, France
DALI 2011	Data, Logic and Inconsistency	Toulouse, France
SOTM-EU 2011	1st State of the Map - Europe Conference	Vienna, Austria
