conference_acronym	conference_name	conference_location
ICIIT - Ei & Scopus 2018	2018 International Conference on Intelligent Information Technology (ICIIT 2018)--Ei Compendex, Scopus and ISI	Hanoi, Vietnam
Ei - ICCAE 2018	2018 10th International Conference on Computer and Automation Engineering (ICCAE 2018)--Ei Compendex and Scopus	Brisbane, Australia
KBCOM 2018	1st Workshop on Knowledge Base Construction, Reasoning and Mining (KBCOM) 2018	Los Angeles, California
AAMAS 2018	International Conference on Autonomous Agents and Multiagent Systems (AAMAS-18)	Stockholm
ICCRI--EI, Scopus 2018	2018 International Conference on Control, Robotics and Informatics (ICCRI 2018)--EI Compendex, Scopus	Kuala Lumpur, Malaysia
ICPRAI 2018	International Conference on Pattern Recognition and Artificial Intelligence	Montreal, Quebec
ICIAS--Ei 2018	2018 IEEE International Conference on Intelligent Autonomous Systems (ICIAS 2018)--Ei Compendex and Scopus	Singapore
CVPR 2018	Computer Vision and Pattern Recognition	SALT LAKE CITY, UTAH
ICIIC--IEEE Xplore, Ei 2018	2018 International Conference on Integrated Intelligent Computing (ICIIC 2018)--IEEE Xplore, Ei Compendex and Scopus	Singapore
Transhumanism 2017	Organic Machines/Engineered Humans: (Re)Defining Humanity	N/A
ACM--ICSSE--Ei, Scopus 2018	ACM--2018 the International Conference on Software and Services Engineering(ICSSE 2018)--Ei, ISI and Scopus	Prague, Czech Republic
ICCMS - Ei & Scopus 2018	ACM--The 10th International Conference on Computer Modeling and Simulation (ICCMS 2018)	Sydney, Australia
ACM - ICIAI 2018	ACM--2018 2nd International Conference on Innovation in Artificial Intelligence (ICIAI 2018)--Ei Compendex, Scopus, and ISI	Shanghai, China
ICICA 2018	The 7th International Conference on Intelligent Computing and Applications (ICICA 2018)	Sydney, Australia
ICAISC 2018	International Conference on Artificial Intelligence and Soft Computing	Zakopane, POLAND
IEEE-ICCAR-Ei & SCOPUS 2018	(IEEE-ICCAR 2018) 2018 The 4th International Conference on Control, Automation and Robotics--Ei Compendex & SCOPUS	Auckland, New Zealand
ISMSI--Ei Compendex, Scopus and ISI 2018	2018 2nd International Conference on Intelligent Systems, Metaheuristics & Swarm Intelligence (ISMSI 2018)--Ei Compendex, Scopus and ISI	Phuket, Thailand
ICVR-Ei 2018	2018 4th International Conference on Virtual Reality (ICVR 2018)--Ei Compendex and Scopus	Hong Kong
SLIE 2018	Semantic, Logics, Information Extraction and AI	Melbourne, Florida
AIHealth@FLAIRS 2018	FLAIRS 2018 Special Track on Artificial Intelligence in Healthcare Informatics	Melbourne, FL, USA
JOE_ASPBI 2018	Journal of Engineering_Advanced Signal Processing in Biomedical Imaging	N/A
ICIGP-Ei 2018	2018 International Conference on Image and Graphics Processing (ICIGP 2018)--Ei Compendex and Scopus	Hong Kong
NIC 2018	Workshop on Nature Inspired Computing	Naples, Italy
CSPA 2018	14th IEEE Colloquium on Signal Processing and its Applications (CSPA 2018)	MALAYSIA
ICGHIT 2018	6Th ICGHIT - Extended Papers Published in LNEE/SCI/Ei Compendex/Scopus Journals	Chiang Mai, Thailand
ICDIS 2018	2018 First International Conference on Data Intelligence and Security	South Padre Island, Texas, USA
FoIKS 2018	10th International Symposium on Foundations of Information and Knowledge Systems	Budapest, Hungary
ISCSAI 2017	2017 International Symposium on Computer Science and Artificial Intelligence	Shenzhen
UKAIS 2018	The 23rd UK Academy for Information Systems (UKAIS) International Conference	University of Oxford, Oxford, UK
IEEE--ICCCBDA--Ei and Scopus 2018	2018 the 3rd IEEE International Conference on Cloud Computing and Big Data Analysis (ICCCBDA 2018)--Ei Compendex and Scopus	Chengdu, China
ICMAI--EI Compendex and Scopus 2018	2018 International Conference on Mathematics and Artificial Intelligence (ICMAI 2018)--EI Compendex and Scopus	Chengdu, China
ICISS--Ei Compendex and Scopus 2018	2018 International Conference on Information Science and System (ICISS 2018)--Ei Compendex and Scopus	Jeju Island, South Korea
ICRIC--Ei Compendex and Scopus 2018	The 2018 International Conference on Robotics and Intelligent Control (ICRIC 2018)--Ei Compendex and Scopus	Nagoya, Japan
CPAIOR 2018	15th International Conference on the Integration of Constraint Programming, Artificial Intelligence, and Operations Research	Delft, The Netherlands
ICCRE--IEEE, Ei 2018	2018 IEEE 3rd International Conference on Control and Robotics Engineering (ICCRE 2018)--IEEE Xplore and Ei Compendex	Nagoya, Japan
