conference_acronym	conference_name	conference_location
ACM-ICIAI 2018	ACM--2018 2nd International Conference on Innovation in Artificial Intelligence (ICIAI 2018)--Ei Compendex, Scopus, and ISI	Shanghai, China
ICICA 2018	The 7th International Conference on Intelligent Computing and Applications (ICICA 2018)	Sydney, Australia
ICAISC 2018	International Conference on Artificial Intelligence and Soft Computing	Zakopane, Poland
IEEE-ICCAR 2018	2018 The 4th International Conference on Control, Automation and Robotics--Ei Compendex & SCOPUS	Auckland, New Zealand
ISMSI--Ei Compendex, Scopus and ISI 2018	2018 2nd International Conference on Intelligent Systems, Metaheuristics & Swarm Intelligence (ISMSI 2018)--Ei Compendex, Scopus and ISI	Phuket, Thailand
ICVR 2018	2018 4th International Conference on Virtual Reality (ICVR 2018)--Ei Compendex and Scopus	Hong Kong
SLIE 2018	Semantic, Logics, Information Extraction and AI	Melbourne, FL, USA
FLAIRS 2018	FLAIRS 2018 Special Track on Artificial Intelligence in Healthcare Informatics	Melbourne, FL, USA
ICIGP-Ei 2018	2018 International Conference on Image and Graphics Processing (ICIGP 2018)--Ei Compendex and Scopus	Hong Kong
NIC 2018	Workshop on Nature Inspired Computing	Naples, Italy
CSPA 2018	14th IEEE Colloquium on Signal Processing and its Applications (CSPA 2018)	Malaysia
ICGHIT 2018	6Th ICGHIT - Extended Papers Published in LNEE/SCI/Ei Compendex/Scopus Journals	Chiang Mai, Thailand
ICDIS 2018	2018 First International Conference on Data Intelligence and Security	South Padre Island, Texas, USA
FoIKS 2018	10th International Symposium on Foundations of Information and Knowledge Systems	Budapest, Hungary
ISCSAI 2017	2017 International Symposium on Computer Science and Artificial Intelligence	Shenzhen, China
UKAIS 2018	The 23rd UK Academy for Information Systems (UKAIS) International Conference	Oxford, United Kingdom
IEEE--ICCCBDA 2018	2018 the 3rd IEEE International Conference on Cloud Computing and Big Data Analysis (ICCCBDA 2018)--Ei Compendex and Scopus	Chengdu, China
ICMAI 2018	2018 International Conference on Mathematics and Artificial Intelligence (ICMAI 2018)--EI Compendex and Scopus	Chengdu, China
ICISS--Ei Compendex and Scopus 2018	2018 International Conference on Information Science and System (ICISS 2018)--Ei Compendex and Scopus	Jeju Island, South Korea
ICRIC 2018	The 2018 International Conference on Robotics and Intelligent Control (ICRIC 2018)--Ei Compendex and Scopus	Nagoya, Japan
CPAIOR 2018	15th International Conference on the Integration of Constraint Programming, Artificial Intelligence, and Operations Research	Delft, The Netherlands
ICCRE--IEEE 2018	2018 IEEE 3rd International Conference on Control and Robotics Engineering (ICCRE 2018)--IEEE Xplore and Ei Compendex	Nagoya, Japan
ICCCS 2018	2018 3rd International Conference on Computer and Communication Systems (ICCCS 2018)--Ei Compendex and Scopus	Nagoya, Japan
RADIO AI 2018	RADIO AI - An Invitation for AI Educators and Professionals to Reach the Public	Anaheim, CA, USA
SMART 2017	Scientific Methods in Academic Research and Teaching	Timisoara, Romania
ACM--ICMSR 2018	2018 International Conference on Mechatronic Systems and Robots (ICMSR 2018)--ACM, Ei, Scopus and ISI	Singapore
CIAALS 2018	Workshop on Computational Intelligence in Ambient Assisted Living Systems	Porto, Portugal
ICMEAE 2018	2018 5th International Conference on Mechatronics, Electronics and Automation Engineering (ICMEAE 2018)--Ei Compendex and Scopus	Nagoya, Japan
IPMU 2018	17th Information Processing and Management of Uncertainty in Knowledge-Based Systems Conference	Cadiz, Spain
ICDIP-SPIE 2018	ICDIP 2018 The 10th International Conference on Digital Image Processing--Ei Compendex, Scopus and CPCI	Shanghai, China
ICUASA 2018	2018 International Conference on Umanned Aerial Systems and Aerospace(ICUASA 2018)	Shanghai, China
ICINT 2018	2018 3rd International Conference on Information and Network Technologies (ICINT 2018)--EI Compendex, Scopus	Osaka, Japan
ICMRA 2018	2018 International Conference on Mechatronics,Robotics and Automation (ICMRA 2018)--Ei & Scopus	Hefei, China
ICMVA 2018	2018 The International Conference on Machine Vision and Applications (ICMVA 2018)--EI Compendex, Scopus	Singapore
